about_faculty,amendments,brand,configuration,course_name,delivery_mode,demo,demo_tour,discounted_price,doubt_solving,duration,highlights,img,kit_contents,mode,offer_type,other_details,please_note,price,ratings,recording,requirements,reviews,runs_on,study_materials,technical_support,total_views,url,validity,video_language
CMA Final 2022 Syllabus COST AND MANAGEMENT AUDIT Full Course By CA Priyanka Saxena in 80 Hours. These Lectures are beneficial for June 25 Dec 25 attempts. Study Materials will be provided with the same.,Downloadable link,Priyanka Saxena Classes,,CMA Final 2022 Syllabus COST AND MANAGEMENT AUDIT Full Course By CA Priyanka Saxena,Google Drive with Hard Copy,https://www.youtube.com/c/PriyankaSaxenaClasses/videos,,,,80 Hours (48 Lectures),,//zeroinfy.in/cdn/shop/products/CMAFinal2022SyllabusCOSTANDMANAGEMENTAUDITFullCourseByCAPriyankaSaxena_1024x1024.jpg?v=1669355318,Video Lectures + Study Material (Hard Copy Books),Google Drive,,,,"Rs. 8,500.00",0.00,Latest,"Computer / Laptop,: Windows 7, 8, Windows 10, version 1809, May 2018 and later, minimum 2GB RAM, any CPU (Our software does not allow installation in chrome OS and iOS devices).,Mobile,: Google Certified devices running Android Marshmallow and Later). Android 6.0 and up",0,Computer / Laptop / Mobile,,"Mobile -,8826602669 || 6393851612,,,Email at,support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-final-2022-syllabus-cost-and-management-audit-full-course-by-ca-priyanka-saxena,,Hindi-English Mix
CMA Final 2022 Syllabus DIRECT TAX LAWS AND INTERNATIONAL TAXATION Full Course By CA Priyanka Saxena in 160 Hours. These Lectures are beneficial for June 25 attempts. Study Materials will be provided with the same.,Downloadable link,Priyanka Saxena Classes,,CMA Final DIRECT TAX LAWS AND INTERNATIONAL TAXATION Paper 15 2022 Syllabus Full Course By CA Priyanka Saxena,Google Drive with Hard Copy,https://www.youtube.com/c/PriyankaSaxenaClasses/videos,,,,160 Hours (98 Lectures),,//zeroinfy.in/cdn/shop/products/CMAFinal2022SyllabusDIRECTTAXLAWSANDINTERNATIONALTAXATIONFullCourseByCAPriyankaSaxena_1024x1024.jpg?v=1669355332,Video Lectures + Study Material (Hard Copy Books),Google Drive,,,,"Rs. 8,500.00",0.00,Latest,"Computer / Laptop,: Windows 7, 8, Windows 10, version 1809, May 2018 and later, minimum 2GB RAM, any CPU (Our software does not allow installation in chrome OS and iOS devices).,Mobile,: Google Certified devices running Android Marshmallow and Later). Android 6.0 and up",0,Computer / Laptop / Mobile,,"Mobile -,8826602669 || 6393851612,,,Email at,support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-final-2022-syllabus-direct-tax-full-course-by-ca-priyanka-saxena,,Hindi-English Mix
CMA Final 2022 Syllabus CORPORATE AND ECONOMIC LAWS Full Course By CA Priyanka Saxena in 140 Hours. These Lectures are beneficial for June and Dec 25 attempts. Study Materials will be provided with the same.,Downloadable link,Priyanka Saxena Classes,,CMA Final CORPORATE AND ECONOMIC LAWS Paper 13 2022 Syllabus Full Course By CA Priyanka Saxena,Google Drive with Hard Copy,https://www.youtube.com/c/PriyankaSaxenaClasses/videos,,,,140 Hours (70 Lectures),,//zeroinfy.in/cdn/shop/products/CMAFinal2022SyllabusCORPORATEANDECONOMICLAWSFullCourseByCAPriyankaSaxena_1024x1024.jpg?v=1669355303,Video Lectures + Study Material (Hard Copy Books),Google Drive,,,,"Rs. 8,500.00",0.00,Latest,"Computer / Laptop,: Windows 7, 8, Windows 10, version 1809, May 2018 and later, minimum 2GB RAM, any CPU (Our software does not allow installation in chrome OS and iOS devices).,Mobile,: Google Certified devices running Android Marshmallow and Later). Android 6.0 and up",0,Computer / Laptop / Mobile,,"Mobile -,8826602669 || 6393851612,,,Email at,support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-final-2022-syllabus-law-full-course-by-ca-priyanka-saxena,,Hindi-English Mix
CMA Inter 2022 Syllabus DIRECT TAXATION AND INDIRECT TAXATION Full Course By CA Priyanka Saxena in 130 Hours. These Lectures are beneficial for June 25 Dec 25 attempts. Study Materials will be provided with the same.,Downloadable link,Priyanka Saxena Classes,,CMA Inter 2022 Syllabus DIRECT TAXATION AND INDIRECT TAXATION Full Course By CA Priyanka Saxena,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/c/PriyankaSaxenaClasses/videos,,,,130 Hours (60 Lectures),,//zeroinfy.in/cdn/shop/products/CMAInter2022SyllabusDIRECTTAXATIONANDINDIRECTTAXATIONFullCourseByCAPriyankaSaxena_1024x1024.jpg?v=1669355440,Video Lectures + Study Material (Hard Copy Books),Google Drive | Pen Drive,,,,"Rs. 8,000.00",0.00,Latest,"Computer / Laptop,: Windows 7, 8, Windows 10, version 1809, May 2018 and later, minimum 2GB RAM, any CPU (Our software does not allow installation in chrome OS and iOS devices).,Mobile,: Google Certified devices running Android Marshmallow and Later). Android 6.0 and up",0,Computer / Laptop / Mobile,,"Mobile -,8826602669 || 6393851612,,,Email at,support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-dt-and-idt-full-course-by-ca-priyanka-saxena,,Hindi-English Mix
CMA Inter 2022 Syllabus BUSINESS LAWS AND ETHICS Full Course By CA Priyanka Saxena in 140 Hours. These Lectures are beneficial for June 25 Dec 25 attempts. Study Materials will be provided with the same.,Downloadable link,Priyanka Saxena Classes,,CMA Inter 2022 Syllabus BUSINESS LAWS AND ETHICS Full Course By CA Priyanka Saxena,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/c/PriyankaSaxenaClasses/videos,,,,140 Hours (70 Lectures),,//zeroinfy.in/cdn/shop/products/CMAInter2022SyllabusBUSINESSLAWSANDETHICSFullCourseByCAPriyankaSaxena_1024x1024.jpg?v=1669355424,Video Lectures + Study Material (Hard Copy Books),Google Drive | Pen Drive,,,,"Rs. 6,500.00",0.00,Latest,"Computer / Laptop,: Windows 7, 8, Windows 10, version 1809, May 2018 and later, minimum 2GB RAM, any CPU (Our software does not allow installation in chrome OS and iOS devices).,Mobile,: Google Certified devices running Android Marshmallow and Later). Android 6.0 and up",0,Computer / Laptop / Mobile,,"Mobile -,8826602669 || 6393851612,,,Email at,support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-law-full-course-by-ca-priyanka-saxena,,Hindi-English Mix
"CA CS MOHIT AGARWAL, CA CS DIVYA AGARWAL,CA CS DIPAK AGARWAL,CA MANOJ SHARMA,CA PRATIK NEVE",,MEPL Classes,,CMA Final Both Group All Subjects (Except CFR) Full Course Combo By MEPL Classes,"Google Drive with Soft Copy,Mobile App with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/playlist?list=PL1ytxhBe1IJKKSdVmLQOIkcxhLD6SO0_F,,"Rs. 29,450.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/products/CMAFinalBothGroupAllSubjects_ExceptCFR_FullCourseComboByMEPLClasses_1024x1024.jpg?v=1741428590,Video Lectures + Study Materials (11 Books),"Google Drive,Mobile App","Jun-25,Dec-25",,THERE IS NO TRANSFER POSSIBLE TO ANOTHER DEVICE DUE TO ANY REASON,"Rs. 25,622.00",0.00,,,0,LAPTOP / DESKTOP / ANDROID MOBILE,English,,,https://zeroinfy.in/collections/all/products/cma-final-both-group-all-subjects-except-cfr-full-course-combo-by-mepl-classes,"90/180/270/365/455 Days,from date of installation or exam term whichever is earlier,Additional 3 Months Of Validity Will Be Provided With The 9 Months And 15 Months Variants (Free Of Cost) | Additional 6 Months Of Validity Will Be Provided With 18 Months Variants (Free Of Cost)",Hindi-English Mix
"is known as CA, CS Tax expert. He is one of the most dynamic and dedicated faculty of Direct Tax. He is a prominent faculty member of VSmart Academy. He teaches Direct Tax and International Taxation for CA Final level and Direct Tax for CA Inter.",,EKATVAM,,CA Foundation All Subjects Combo By Ekatvam Academy,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/c/CAAbhishekZaware/videos,,,WhatsApp | Telegram,"Accounts - 120-160 Hrs,(80 lectures by CA Manish Tardeja) +,30-40 Hrs,(20 lectures by CA Abhishek Zaware),Law - 110-130 Hrs,Approx (55 lectures),Maths - 110-130 Hrs,Approx (55 lectures),Economics - 60-80 Hrs,(40 lectures by CA Vijay Sarda for Micro) +,55-90 Hrs,(45 lectures by CA Vijay Sarda for Macro)","100% Updated Syllabus,aligned with the latest ICAI module.,Applicable for June and Sep 2025 Exams,, ensuring you're on track for success.,12 Months Validity,with,2 Views,so you can revisit the material anytime.",//zeroinfy.in/cdn/shop/files/CAFoundationNewSchemeAllSubjectsComboByEkatvamAcademy_1024x1024.jpg?v=1697179700,"Video Lectures + Study Materials (,Accounts - Class Book,By CA Manish Tardeja and,Concept Book,By CA Abhishek Zaware |,Law -,Main Book and Question Bank |,Maths -,Main Book |,Economics -,Main Book and MCQ,)",Google Drive | Pen Drive,,,,"Rs. 24,999.00",0.00,April 2024,"Laptop,: Windows 7 (Ultimate, Home Premium, Professional, And Enterprise) 32-Bit/64-Bit, To Include Windows Versions 8, 8.1, And Win 10,Mobile,: Android 6.0 & Above | 2 GB Ram & Above | Sufficient Internal Storage According to lecture's Size",0,Laptop / Mobile,English,"Mobile -,9404994040 / 8983789829,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-foundation-all-subjects-combo-by-ekatvam-academy,9 months from the date of activation,Hindi-English Mix
,Will be provided by mail (if any),Any Time Classes,,CA Foundation All Subjects Full Course Combo by Any Time Classes,"PenDrive with Soft Copy,Google Drive with Soft Copy",,,"Rs. 40,000.00",Whatsapp,"Accounting - 100 Hrs,Law and BCR - 37 Hrs,Mathematics - 30 Hrs,Economics - 46 Hrs",,//zeroinfy.in/cdn/shop/products/CAFoundationAllSubjectsFullCourseCombobyAnyTimeClasses_1024x1024.jpg?v=1668152078,,Google Drive | Pen Drive,,,,"Rs. 21,000.00",0.00,Latest,,0,,English,"Mobile- 7840046600,Email us at support@zeroify.in",4 times views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-foundation-all-subjects-combo-by-dr-ps-rathore,"6 Months,9 Months",Hindi-English Mix
,,Any Time Classes,,CA Foundation Accounting Full Course Video Lecture by Dr. PS Rathore,"Pendrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,,,//zeroinfy.in/cdn/shop/products/CAFoundationAccountingFullCourseVideoLecturebyDr.PSRathore_1024x1024.jpg?v=1668152179,,Google Drive | Pen Drive,,,,"Rs. 10,000.00",0.00,Latest,,0,,,"Mobile- 7840046600,Email us at support@zeroify.in",4 Views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-foundation-accounting-full-course-by-dr-ps-rathore,"6 Months,9 Months",Hindi/English Mix
,,Any Time Classes,,CA Foundation Law and BCR Full Course Video Lectures by Dr. PS Rathore,"Pendrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,,,//zeroinfy.in/cdn/shop/products/CAFoundationLawandBCRFullCourseVideoLecturesbyDr.PSRathore_1024x1024.jpg?v=1668152284,,Google Drive | Pen Drive,,,,"Rs. 10,000.00",0.00,Latest,,0,,,"Mobile- 7840046600,Email us at support@zeroify.in",4 Views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-foundation-law-and-bcr-full-course-by-dr-ps-rathore,"6 Months,9 Months",Hindi/English Mix
,,Any Time Classes,,CA Foundation Business Law Full Course Video Lectures by Dr. PS Rathore,"Pendrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,,,//zeroinfy.in/cdn/shop/products/CAFoundationBusinessLawFullCourseVideoLecturesbyDr.PSRathore_1024x1024.jpg?v=1668152380,,Google Drive | Pen Drive,,,,"Rs. 7,000.00",0.00,Latest,,0,,,"Mobile- 7840046600,Email us at support@zeroify.in",4 Views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-foundation-business-law-full-course-by-dr-ps-rathore,"6 Months,9 Months",Hindi/English Mix
,,Any Time Classes,,CA Foundation Mathematics Full Course Video Lectures by Dr. PS Rathore,"Pendrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,,,//zeroinfy.in/cdn/shop/products/CAFoundationMathematicsFullCourseVideoLecturesbyDr.PSRathore_1024x1024.jpg?v=1668152565,,Google Drive | Pen Drive,,,,"Rs. 10,000.00",0.00,Latest,,0,,,"Mobile- 7840046600,Email us at support@zeroify.in",4 Views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-foundation-mathematics-full-course-by-dr-ps-rathore,"6 Months,9 Months",Hindi/English Mix
,,Any Time Classes,,CA Foundation Business Economics and Business & Commercial Knowledge Full Course Video Lectures by Dr. PS Rathore,"Pendrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,,,//zeroinfy.in/cdn/shop/products/CAFoundationBusinessEconomicsandBusiness_CommercialKnowledgeFullCourseVideoLecturesbyDr.PSRathore_1024x1024.jpg?v=1668152675,,Google Drive | Pen Drive,,,,"Rs. 10,000.00",0.00,Latest,,0,,,"Mobile- 7840046600,Email us at support@zeroify.in",4 Views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-foundation-economics-full-course-by-dr-ps-rathore,"6 Months,9 Months",Hindi/English Mix
,,Any Time Classes,,CA Foundation Business Economics Full Course Video Lectures by Dr. PS Rathore,"Pendrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,,,//zeroinfy.in/cdn/shop/products/CAFoundationBusinessEconomicsFullCourseVideoLecturesbyDr.PSRathore_1024x1024.jpg?v=1668152766,,Google Drive | Pen Drive,,,,"Rs. 7,000.00",0.00,Latest,,0,,,"Mobile- 7840046600,Email us at support@zeroify.in",4 Views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-foundation-business-economics-full-course-by-dr-ps-rathore,"6 Months,9 Months",Hindi/English Mix
,Will be provided by mail (if any),Any Time Classes,,"CA Inter Audit, EIS SM and FM ECO Full Course Combo by Any Time Classes","PenDrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,"Audit - 65 Hrs,EIS SM - 125 Hrs,FM ECO - 100 Hrs",,//zeroinfy.in/cdn/shop/products/CAInterAudit_EISSMandFMECOFullCourseCombobyAnyTimeClasses_1024x1024.jpg?v=1668152991,,Google Drive | Pen Drive,,,,"Rs. 21,000.00",0.00,Latest,,0,,English,"Mobile- 7840046600,Email us at support@zeroify.in",4 times views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-inter-audit-eis-sm-and-fm-eco-full-course-combo-by-any-time-classes,"6 Months,9 Months",Hindi-English Mix
,Will be provided by mail (if any),Any Time Classes,,CA Inter Audit Full Course Video Lectures by Dr. PS Rathore,"PenDrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,65 Hrs,,//zeroinfy.in/cdn/shop/products/CAInterAuditFullCourseVideoLecturesbyDr.PSRathore_1024x1024.jpg?v=1668153057,,Google Drive | Pen Drive,,,,"Rs. 8,000.00",0.00,Latest,,0,,English,"Mobile- 7840046600,Email us at support@zeroify.in",4 times views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-inter-audit-full-course-by-any-time-classes,"6 Months,9 Months",Hindi-English Mix
,Will be provided by mail (if any),Any Time Classes,,CA Inter EIS SM Full Course Video Lectures by Dr. PS Rathore,"PenDrive with Soft Copy,Google Drive with Soft Copy",,,,Whatsapp,125 Hrs,,//zeroinfy.in/cdn/shop/products/CAInterEISSMFullCourseVideoLecturesbyDr.PSRathore_1024x1024.jpg?v=1668153151,,Google Drive | Pen Drive,,,,"Rs. 5,000.00",0.00,Latest,,0,,English,"Mobile- 7840046600,Email us at support@zeroify.in",4 times views per lecture (1.8x FF),https://zeroinfy.in/collections/all/products/ca-inter-eis-sm-full-course-video-lectures-by-dr-ps-rathore,"6 Months,9 Months",Hindi-English Mix
"CA CS MOHIT AGARWAL, CA CS DIVYA AGARWAL,CA CS DIPAK AGARWAL,CA MANOJ SHARMA,CA ANKUR AGARWAL, CA PRATIK NEVE",,MEPL Classes,,CMA Final Both Group All Papers Except DT and CFR Combo By MEPL Classes,"Google Drive with Soft Copy,Mobile App with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/playlist?list=PL1ytxhBe1IJKKSdVmLQOIkcxhLD6SO0_F,,"Rs. 25,450.00",Mail: d2hclasses@mohitsir.com,700 Hrs (350 lectures),,//zeroinfy.in/cdn/shop/products/CMAFinalBothGroupAllPapersExceptDTandCFRComboByMEPLClasses_1024x1024.jpg?v=1741428595,Video Lectures + Study Materials (10 Hard Copy Books),Google Drive | Pen Drive,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 22,142.00",0.00,Latest,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-final-both-group-all-papers-except-dt-and-cfr-combo-mepl-classes,"180/270/365/455 Days,from date of installation or exam term whichever is earlier (Further Extension Is Not Possible)",Hindi-Engish Mix
,,Satish Jalan Classes,,CMA Inter 2022 Syllabus Taxation Full Course By CA Sanjay Mundhra,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/c/SJCInstitute/videos,,,Telegram / Call,160 Hours (80 Lectures approx),,//zeroinfy.in/cdn/shop/files/CMAInter2022SyllabusTaxationFullCourseByCASanjayMundhra_1024x1024.jpg?v=1736945242,Video Lectures + Study Materials (3 Hard Copy Books),Google Drive,,,,"Rs. 7,500.00",0.00,Latest,"Laptop,: Windows 7, Windows 8.1, or Windows 10 with the latest updates | 4GB RAM and Minimum 100 MB hard disk space | Graphic card driver up to date | Media features and windows media player should be available | Some AMD processors are not supported,Mobile:,Android 6.0 & Above |,Motorola and rooted android,devices are,not supported.",0,Laptop / Mobile,English,"Mobile -,8100112222,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-taxation-full-course-ca-sanjay-mundhra,Till The Exam Term,Hindi-English Mix
"CA Satish Jalan, CA Abhimanyu Agarwal, CA Sanjay Mundhra",,Satish Jalan Classes,,"CMA Inter Cost, Financial Accounting and Tax Full Course Combo 2022 Syllabus By Satish Jalan Classes","Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/c/SJCInstitute/videos,,,Telegram / Call,580 Hours,,//zeroinfy.in/cdn/shop/files/CMAInterCost_FinancialAccountingandTaxFullCourseCombo2022SyllabusBySatishJalanClasses_1024x1024.jpg?v=1739542697,Video Lectures + Study Materials (8 Hard Copy Books),Google Drive | Pen Drive,,,,"Rs. 18,750.00",0.00,Latest,"Laptop,: Windows 7, Windows 8.1, or Windows 10 with the latest updates | 4GB RAM and Minimum 100 MB hard disk space | Graphic card driver up to date | Media features and windows media player should be available | Some AMD processors are not supported,Mobile:,Android 6.0 & Above |,Motorola and rooted android,devices are,not supported.",0,Laptop / Mobile,English,"Mobile -,8100112222,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-cost-financial-accounting-and-tax-by-satish-jalan-classes,Till Exam Term,Hindi-English Mix
"CA Inter Corporate and Other Laws Full Course By CA Priyanka Saxena in 90 Hours. These Lectures are beneficial for Sep 24, Jan 25 attempts. Study Materials will be provided with the same.",Downloadable Link,Priyanka Saxena Classes,,CA Inter Corporate and Other Laws Full Course By CA Priyanka Saxena,Google Drive with Hard Copy,https://www.youtube.com/c/DrCACSCMAPriyankaSaxenacacmacs/videos,,,,"90,Hours Approx (,60,Lectures)",,//zeroinfy.in/cdn/shop/products/CAInterCorporateandOtherLawsFullCourseByCAPriyankaSaxena_1024x1024.jpg?v=1661849655,Video Lectures + Study Materials (Hard Copy Books),Google Drive,,,,"Rs. 6,500.00",0.00,Latest,"Computer / Laptop,: Windows 7, 8, Windows 10, version 1809, May 2018 and later, minimum 2GB RAM, any CPU (Our software does not allow installation in chrome OS and iOS devices).,Mobile,: Google Certified devices running Android Marshmallow and Later). Android 6.0 and up",0,Computer / Laptop / Mobile,,"Mobile -,8826602669 / 6393851612,Email at,support@zeroinfy.in",Unlimited (2x FF),https://zeroinfy.in/collections/all/products/ca-inter-corporate-and-other-laws-full-course-by-ca-priyanka-saxena,,Hindi-English Mix
CMA Inter Cost Accounting Full Course By CA Ashish Kalra in 200 Hours. These Lectures are beneficial for June 25 and Dec 25 attempts. Study Materials will be provided with the course.,,IGP Institute,,CMA Inter Cost Accounting Full Course By CA Ashish Kalra,"Google Drive with Hard Copy,Mobile App with Hard Copy",,,"Rs. 10,000.00",,200 Hours (73 Lectures),,//zeroinfy.in/cdn/shop/files/CMAInterCostAccountingFullCourseByCAAshishKalra_1024x1024.jpg?v=1737553264,Video Lectures + Study Materials (Printed Book),Google Drive | Mobile App,,,,"Rs. 8,000.00",0.00,Latest,"Documents:,Aadhar card, Voter id card, passport or Ration card, etc | ICAI registration letter,Mail us at sales@zeroinfy.in",0,Laptop / Mobile,English,"For Google Drive Link & Serial Key mail your order details at dth@igpinstitute.org,Mobile -729 008 9904, Mon-Sat 11am-6pm, Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-cost-accounting-full-course-by-ca-ashish-kalra,12 months from the date of activation,Hindi-English Mix
"ACCA, M.com, 3-years Diploma in Computer Applications.","If any, will be provided via Drive Link",Concept Classes,,CMA Inter 2022 Syllabus Operations Management & Strategic Management (OM SM) Regular Lectures By Amarjit Kaur,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/c/santoshkumaronlinestudy/videos,,,"WhatsApp /,Call",To Be Updated Soon,,//zeroinfy.in/cdn/shop/products/CMAInter2022SyllabusOMSMRegularLecturesByACCAAmarjitKaur_1024x1024.jpg?v=1736945137,Video Lectures + Study Materials (Books),Google Drive | Pen Drive,,,,"Rs. 4,000.00",0.00,Latest,"Desktop / Laptop,: Windows 7 & Above,Mobile,: Android 6.0 & Above",0,Desktop / Laptop / Mobile,English,"Mobile -9999631597,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-omsm-regular-lectures-by-acca-amarjit-kaur,,Hindi-English Mix
"CA/CMA Santosh Kumar founded COC with the goal is to provide conceptual knowledge to all or any commerce students instead of mugging up books. Video classes are provided for CA/CMA/CS/B.Com-M.Com XI-XII (commerce) students in Pen-Drive/SD card/Download link mode which may run on Windows 7 & above laptop/computer or android phone. We promise you that, if we see you bringing one step forward then we'll take you to level up with our support and care in getting the concepts clear for once and all.","If any, will be provided via Drive Link",Concept Classes,,CMA Inter Corporate Accounting and OMSM By CA Santosh Kumar and CA Raghav Goel,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/c/santoshkumaronlinestudy/videos,,,"WhatsApp /,Call",174 Hours (125 Lectures),,//zeroinfy.in/cdn/shop/files/CMAInterCorporateAccountingandOMSMByCASantoshKumarandCARaghavGoel_6dbc0449-a9c5-40f8-b240-d826c39ca6cc_1024x1024.jpg?v=1739801249,Video Lectures + Study Materials (Books),Google Drive | Pen Drive,,,,"Rs. 8,800.00",0.00,Latest,"Desktop / Laptop,: Windows 7 & Above,Mobile,: Android 6.0 & Above",0,Desktop / Laptop / Mobile,English,"Mobile -9999631597,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-corporate-accounting-and-omsm-by-ca-santosh-kumar-and-ca-raghav-goel,,Hindi-English Mix
"CA/CMA Santosh Kumar founded COC with the goal is to provide conceptual knowledge to all or any commerce students instead of mugging up books. Video classes are provided for CA/CMA/CS/B.Com-M.Com XI-XII (commerce) students in Pen-Drive/Download link mode which may run on Windows 7 & above laptop/computer or android phone. We promise you that, if we see you bringing one step forward then we'll take you to level up with our support and care in getting the concepts clear for once and all.","If any, will be provided via Drive Link",Concept Classes,,CMA Inter Both Group Accounting 2022 Syllabus By CA Santosh Kumar,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/c/santoshkumaronlinestudy/videos,,,"WhatsApp /,Call",363 Hours (200 Lectures),,//zeroinfy.in/cdn/shop/files/CMAInterBothGroupAccounting2022SyllabusByCASantoshKumar_1024x1024.jpg?v=1739801295,Video Lectures + Study Materials (Books),Google Drive | Pen Drive,,,,"Rs. 8,800.00",0.00,Latest,"Desktop / Laptop,: Windows 7 & Above,Mobile,: Android 6.0 & Above",0,Desktop / Laptop / Mobile,English,"Mobile -9999631597,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-both-group-accounting-2022-syllabus-by-ca-santosh-kumar,,Hindi-English Mix
"has done B.Com (Hons.) from Delhi University. He is an ALL INDIA TOPPER in Advanced Financial Management paper at CMA Final level. He is a visiting faculty of CAFM at ICAI. He is an innovative and knowledgeable professional having more than 10 years of experience in teaching Financial Management in a simple and easy manner that creates interest in the students and helps them to quickly grasp the subject. He has taught more than 15000 students across India and produced many rankers in CA & CNIA. Proficient in developing own Methodology, Flow charts, and inventing unique short-cut techniques rather than traditional methods of the books to crack the problems.",YouTube,CMA Sumit Rastogi,,CMA Inter 2022 Syllabus OM SM Full Course By CMA Sumit Rastogi,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/channel/UCiqpRjrnm1dwgQxcCxZyxxA/videos,,,WHATSAPP,104 Hrs Approx (73 Lectures),,//zeroinfy.in/cdn/shop/products/CMAInter2022SyllabusOMSMFullCourseByCMASumitRastogi_1024x1024.jpg?v=1740115655,Video Lectures + Study Materials (Black & White Hard Copy Books),Google Drive | Pen Drive,,,,"Rs. 5,000.00",0.00,Latest,WINDOW-10/ANDROID,0,COMPUTER/LAPTOP/MOBILE,,"Call - 9560978857 (11AM-6PM | Mon-Sat),Email -,support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-om-sm-by-cma-sumit-rastogi,Till Exam,Hindi-English Mix
"has done B.Com (Hons.) from Delhi University. He is an ALL INDIA TOPPER in Advanced Financial Management paper at CMA Final level. He is a visiting faculty of CAFM at ICAI. He is an innovative and knowledgeable professional having more than 10 years of experience in teaching Financial Management in a simple and easy manner that creates interest in the students and helps them to quickly grasp the subject. He has taught more than 15000 students across India and produced many rankers in CA & CNIA. Proficient in developing own Methodology, Flow charts, and inventing unique short-cut techniques rather than traditional methods of the books to crack the problems.",YouTube,CMA Sumit Rastogi,,CMA Inter 2022 Syllabus FM BDA Full Course By CMA Sumit Rastogi,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/channel/UCiqpRjrnm1dwgQxcCxZyxxA/videos,,,WHATSAPP,172 Hrs Approx (91 Lectures),,//zeroinfy.in/cdn/shop/products/CMAInter2022SyllabusFMBDAFullCourseByCMASumitRastogi_1024x1024.jpg?v=1740115656,Video Lectures + Study Materials (Black & White Hard Copy Books),Google Drive | Pen Drive,,,,"Rs. 6,000.00",0.00,Latest,WINDOW-10/ANDROID,0,COMPUTER/LAPTOP/MOBILE,,"Call - 9560978857 (11AM-6PM | Mon-Sat),Email -,support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-fm-bda-full-course-by-cma-sumit-rastogi,Till Exam,Hindi-English Mix
